hour	channel	value	hour_text	channel_text	programs
6	2	266	17 Sep 2015 04:00 UTC	CNN	CNN Republican Primary Debate Followup
6	3	0	17 Sep 2015 04:00 UTC	FOX-News	None
6	4	0	17 Sep 2015 04:00 UTC	France	None
6	5	0	17 Sep 2015 04:00 UTC	HLN	None
6	6	0	17 Sep 2015 04:00 UTC	KABC	None
6	7	0	17 Sep 2015 04:00 UTC	KCAL	None
6	8	0	17 Sep 2015 04:00 UTC	KCBS	None
6	9	0	17 Sep 2015 04:00 UTC	KMEX	None
6	10	0	17 Sep 2015 04:00 UTC	KNBC	None
6	11	0	17 Sep 2015 04:00 UTC	KTTV-FOX	None
6	12	0	17 Sep 2015 04:00 UTC	MSNBC	None
6	13	0	17 Sep 2015 04:00 UTC	Spain	None
6	14	0	17 Sep 2015 04:00 UTC	WEWS	None
6	15	0	17 Sep 2015 04:00 UTC	WKYC	None
6	16	0	17 Sep 2015 04:00 UTC	WUAB	None
6	17	0	17 Sep 2015 04:00 UTC	World	None
7	1	0	17 Sep 2015 05:00 UTC	AlJazeera	None
7	2	70	17 Sep 2015 05:00 UTC	CNN	CNN Republican Primary Debate Followup
7	3	0	17 Sep 2015 05:00 UTC	FOX-News	None
7	4	0	17 Sep 2015 05:00 UTC	France	None
7	5	0	17 Sep 2015 05:00 UTC	HLN	None
7	6	0	17 Sep 2015 05:00 UTC	KABC	None
7	7	0	17 Sep 2015 05:00 UTC	KCAL	None
7	8	0	17 Sep 2015 05:00 UTC	KCBS	None
7	9	0	17 Sep 2015 05:00 UTC	KMEX	None
7	10	0	17 Sep 2015 05:00 UTC	KNBC	None
7	11	256	17 Sep 2015 05:00 UTC	KTTV-FOX	Ten OClock News
7	12	0	17 Sep 2015 05:00 UTC	MSNBC	None
7	13	0	17 Sep 2015 05:00 UTC	Spain	None
7	14	0	17 Sep 2015 05:00 UTC	WEWS	None
7	15	0	17 Sep 2015 05:00 UTC	WKYC	None
7	16	0	17 Sep 2015 05:00 UTC	WUAB	None
7	17	0	17 Sep 2015 05:00 UTC	World	None
8	1	0	17 Sep 2015 06:00 UTC	AlJazeera	None
8	2	0	17 Sep 2015 06:00 UTC	CNN	None
8	3	0	17 Sep 2015 06:00 UTC	FOX-News	None
8	4	0	17 Sep 2015 06:00 UTC	France	None
8	5	0	17 Sep 2015 06:00 UTC	HLN	None
8	6	0	17 Sep 2015 06:00 UTC	KABC	None
8	7	0	17 Sep 2015 06:00 UTC	KCAL	None
8	8	0	17 Sep 2015 06:00 UTC	KCBS	None
8	9	0	17 Sep 2015 06:00 UTC	KMEX	None
8	10	0	17 Sep 2015 06:00 UTC	KNBC	None
8	11	0	17 Sep 2015 06:00 UTC	KTTV-FOX	None
8	12	0	17 Sep 2015 06:00 UTC	MSNBC	None
8	13	0	17 Sep 2015 06:00 UTC	Spain	None
8	14	0	17 Sep 2015 06:00 UTC	WEWS	None
8	15	0	17 Sep 2015 06:00 UTC	WKYC	None
8	16	0	17 Sep 2015 06:00 UTC	WUAB	None
8	17	0	17 Sep 2015 06:00 UTC	World	None
9	1	0	17 Sep 2015 07:00 UTC	AlJazeera	None
9	2	0	17 Sep 2015 07:00 UTC	CNN	None
9	3	0	17 Sep 2015 07:00 UTC	FOX-News	None
9	4	0	17 Sep 2015 07:00 UTC	France	None
9	5	0	17 Sep 2015 07:00 UTC	HLN	None
9	6	149	17 Sep 2015 07:00 UTC	KABC	Nightline
9	7	0	17 Sep 2015 07:00 UTC	KCAL	None
9	8	0	17 Sep 2015 07:00 UTC	KCBS	None
9	9	0	17 Sep 2015 07:00 UTC	KMEX	None
9	10	0	17 Sep 2015 07:00 UTC	KNBC	None
9	11	0	17 Sep 2015 07:00 UTC	KTTV-FOX	None
9	12	0	17 Sep 2015 07:00 UTC	MSNBC	None
9	13	0	17 Sep 2015 07:00 UTC	Spain	None
